"","","Total Sugars","GLUCOSE","GALACTOSE","FRUCTOSE","SUCROSE","LACTOSE","MALTOSE","TOT. MET. FRUCTOSE"
"1","FRESH FRUIT",0,0,0,0,0,0,0,0
"2","Apples",13.3,2.3,0,7.6,3.3,0,0,9.3
"3","Apricots",9.3,1.6,0,0.7,5.2,0,3.1,3.3
"4","Avocado, California",0.9,0.5,0,0.2,0.1,0,0,0.3
"5","Avocado, Florida",0.9,0.5,0,0.2,0.1,0,0,0.3
"6","Banana",15.6,4.2,0,2.7,6.5,0,0,6
"7","Blackberries",8.1,3.1,0,4.1,0.4,0,0,4.3
"8","Blueberries",7.3,3.5,0,3.6,0.2,0,0,3.7
"9","Cantaloupe",8.7,1.2,0,1.8,5.4,0,0,4.5
"10","Casaba melon",4.7,0,0,0,0,0,0.3,0
"11","Cherries, sweet",14.6,8.1,0,6.2,0.2,0,1.3,6.3
"12","Cherries, sour",8.1,4.2,0,3.3,0.5,0,0,3.6
"13","Elderberries",7,0,0,0,0,0,0,0
"14","Figs",6.9,3.7,0,2.8,0.4,0,0,3
"15","Grapefruit, pink",6.2,1.3,0,1.2,3.4,0,0,2.9
"16","Grapefruit, white",6.2,1.3,0,1.2,3.4,0,0,2.9
"17","Grapes",18.1,6.5,0.4,7.6,0,0,0.1,7.6
"18","Guava",6,1.2,0,1.9,1,0,0.7,2.4
"19","Guava, strawberry",6,1.2,0,1.9,1,0,0,2.4
"20","Honeydew melon",8.2,0,0,0,0,0,0,0
"21","Jackfruit",8.4,1.4,0,1.4,5.4,0,0,4.1
"22","Kiwi fruit",10.5,5,0,4.3,1.1,0,0,4.9
"23","Lemon",2.5,1,0,0.8,0.6,0,0,1.1
"24","Lime",0.4,0.2,0,0.2,0,0,0,0.2
"25","Mamey Apple",6.5,1.1,0,3.7,1.6,0,0,4.5
"26","Mango",14.8,0.7,0,2.9,9.9,0,0,7.9
"27","Nectarine",8.5,1.2,0,0,6.2,0,0,3.1
"28","Orange",9.2,2.2,0,2.5,4.2,0,0,4.6
"29","Papaya",5.9,1.4,0,2.7,1.8,0,0.4,3.6
"30","Peach",8.7,1.2,0,1.3,5.6,0,0,4.1
"31","Pear",10.5,1.9,0,6.4,1.8,0,0,7.3
"32","Pear, Bosc",10.5,1.9,0,6.4,1.8,0,0,7.3
"33","Pear, D’Anjou",10.5,1.9,0,6.4,1.8,0,0,7.3
"34","Pineapple",11.9,2.9,0,2.1,3.1,0,0,3.7
"35","Plum",7.5,2.7,0,1.8,3,0,0,3.3
"36","Pomegranate",10.1,5,0,4.7,0.4,0,0,4.9
"37","Purple Passion Fruit or Granadilla",11.2,4,0,3.1,3.3,0,0,4.8
"38","Raspberries",9.5,3.5,0,3.2,2.8,0,1,4.6
"39","Starfruit",7.1,3.1,0,3.2,0.8,0,0.1,3.6
"40","Strawberries",5.8,2.2,0,2.5,1,0,0,3
"41","Tangerine",7.7,0,0,0,0,0,0,0
"42","Tomato",2.8,1.1,0,1.4,0,0,0,1.4
"43","Watermelon",9,1.6,0,3.3,3.6,0,0,5.1
"44","DRIED FRUIT",0,0,0,0,0,0,0,0
"45","Dates",64.2,0,0,0,44.6,0,0,22.3
"46","Dried apricots",38.9,20.3,0,12.2,6.4,0,0,15.4
"47","Dried figs",62.3,26.9,3.9,24.4,6.1,0,0,27.5
"48","Dried mango",73,0,0,0,0,0,0,0
"49","Dried papaya",53.5,0,0,0,0,0,0,0
"50","Dried peaches",44.6,15.8,0,15.6,13.2,0,0,22.2
"51","Dried pears",49,0,0,0,0,0,0,0
"52","Dried prunes",44,28.7,0,14.8,0.5,0,0,15.1
"53","Raisins",65,31.2,0,33.8,0,0,0,33.8
"54","Raisins, Golden",70.6,32.7,0,37.1,0.8,0,0,37.5
"55","Zante currants",70.6,32.7,0,37.1,0.8,0,0,37.5
"56","PURE SUGARS",0,0,0,0,0,0,0,0
"57","Sucrose (table sugar)",97,0,0,0,97,0,0,48.5
"58","Maple sugar",85.2,4.3,0,4.3,75,0,0,41.8
"59","Honey",81.9,33.8,0,42.4,1.5,0,4.2,43.2
"60","High fructose corn syrup (42)",71,36.9,0,29.8,0,0,2.1,29.8
"61","High fructose corn syrup (55)",77,30.8,0,42.4,0,0,2.3,42.4
"62","High fructose corn syrup (90)",80,7.2,0,72,0,0,0,72
"63","Molasses",60,11.2,0,12.9,34.7,0,0,30.3
"64","Sorghum syrup",65.7,0,0,0,33.5,0,0,0
"65","Brown sugar",89.7,5.2,0,0,84.1,0,0,42.1
"66","CANDY",0,0,0,0,0,0,0,0
"67","M & M chocolate candy",64.7,0,0,0,54.9,7.6,0,27.5
"68","Lifesavers",66.5,0,0,0,66.5,0,0,33.3
"69","Hard candy",62.3,0,0,0,66.7,0,0,33.4
"70","Bit O Honey",42.4,5,0,0.5,27,2.5,5,14
"71","Almond Joy",44.9,0,0,0,0,0,0,0
"72","Baby Ruth",42,0,0,0,0,0,0,0
"73","Butterfinger",48.8,0,0,0,0,0,0,0
"74","Caramello Candy Bar",54.2,0,0,0,0,0,0,0
"75","Nestles Crunch Candy Bar",52.4,0,0,0.2,45.1,6.8,0,22.8
"76","Nestles 100 Grand Candy Bar",63.5,0,0,0,0,0,0,0
"77","Nestles Raisinets",62.5,0,0,0,0,0,0,0
"78","Reeses Pieces",50,0,0,0,0,0,0,0
"79","Skittles",76.4,0,0,0,0,0,0,0
"80","Nestles Plain Milk Chocolate Candy Bar",51,0,0,0,0,0,0,0
"81","Hershey’s Kisses",50,0,0,0,0,0,0,0
"82","Sugar babies",72.9,0,0,0,0,0,0,0
"83","Milk Duds",50,0,0,0,0,0,0,0
"84","Junior Mints",82.2,0,0,0,0,0,0,0
