"","Names","Total Sugars","GLUCOSE","GALACTOSE","FRUCTOSE","SUCROSE","LACTOSE","MALTOSE","TOT. MET. FRUCTOSE","Sugar_Percentage","Fructose_Percentage","Fructose_per_Sugar"
"2","Apples",13.3,2.3,0,7.6,3.3,0,0,9.3,0.133,0.093,0.699248120300752
"3","Apricots",9.3,1.6,0,0.7,5.2,0,3.1,3.3,0.093,0.033,0.354838709677419
"4","Avocado, California",0.9,0.5,0,0.2,0.1,0,0,0.3,0.009,0.003,0.333333333333333
"5","Avocado, Florida",0.9,0.5,0,0.2,0.1,0,0,0.3,0.009,0.003,0.333333333333333
"6","Banana",15.6,4.2,0,2.7,6.5,0,0,6,0.156,0.06,0.384615384615385
"7","Blackberries",8.1,3.1,0,4.1,0.4,0,0,4.3,0.081,0.043,0.530864197530864
"8","Blueberries",7.3,3.5,0,3.6,0.2,0,0,3.7,0.073,0.037,0.506849315068493
"9","Cantaloupe",8.7,1.2,0,1.8,5.4,0,0,4.5,0.087,0.045,0.517241379310345
"10","Casaba melon",4.7,0,0,0,0,0,0.3,0,0.047,0,0
"11","Cherries, sweet",14.6,8.1,0,6.2,0.2,0,1.3,6.3,0.146,0.063,0.431506849315068
"12","Cherries, sour",8.1,4.2,0,3.3,0.5,0,0,3.6,0.081,0.036,0.444444444444444
"13","Elderberries",7,0,0,0,0,0,0,0,0.07,0,0
"14","Figs",6.9,3.7,0,2.8,0.4,0,0,3,0.069,0.03,0.434782608695652
"15","Grapefruit, pink",6.2,1.3,0,1.2,3.4,0,0,2.9,0.062,0.029,0.467741935483871
"16","Grapefruit, white",6.2,1.3,0,1.2,3.4,0,0,2.9,0.062,0.029,0.467741935483871
"17","Grapes",18.1,6.5,0.4,7.6,0,0,0.1,7.6,0.181,0.076,0.419889502762431
"18","Guava",6,1.2,0,1.9,1,0,0.7,2.4,0.06,0.024,0.4
"19","Guava, strawberry",6,1.2,0,1.9,1,0,0,2.4,0.06,0.024,0.4
"20","Honeydew melon",8.2,0,0,0,0,0,0,0,0.082,0,0
"21","Jackfruit",8.4,1.4,0,1.4,5.4,0,0,4.1,0.084,0.041,0.488095238095238
"22","Kiwi fruit",10.5,5,0,4.3,1.1,0,0,4.9,0.105,0.049,0.466666666666667
"23","Lemon",2.5,1,0,0.8,0.6,0,0,1.1,0.025,0.011,0.44
"24","Lime",0.4,0.2,0,0.2,0,0,0,0.2,0.004,0.002,0.5
"25","Mamey Apple",6.5,1.1,0,3.7,1.6,0,0,4.5,0.065,0.045,0.692307692307692
"26","Mango",14.8,0.7,0,2.9,9.9,0,0,7.9,0.148,0.079,0.533783783783784
"27","Nectarine",8.5,1.2,0,0,6.2,0,0,3.1,0.085,0.031,0.364705882352941
"28","Orange",9.2,2.2,0,2.5,4.2,0,0,4.6,0.092,0.046,0.5
"29","Papaya",5.9,1.4,0,2.7,1.8,0,0.4,3.6,0.059,0.036,0.610169491525424
"30","Peach",8.7,1.2,0,1.3,5.6,0,0,4.1,0.087,0.041,0.471264367816092
"31","Pear",10.5,1.9,0,6.4,1.8,0,0,7.3,0.105,0.073,0.695238095238095
"32","Pear, Bosc",10.5,1.9,0,6.4,1.8,0,0,7.3,0.105,0.073,0.695238095238095
"33","Pear, D’Anjou",10.5,1.9,0,6.4,1.8,0,0,7.3,0.105,0.073,0.695238095238095
"34","Pineapple",11.9,2.9,0,2.1,3.1,0,0,3.7,0.119,0.037,0.310924369747899
